"","X","X0","X1","X2"
"100",1698,"16-01-2021 12:15","16-01-2021 12:30","340"
"101",1699,"16-01-2021 12:30","16-01-2021 12:45","340"
"102",1700,"16-01-2021 12:45","16-01-2021 13:00","255"
"103",1701,"16-01-2021 13:00","16-01-2021 13:15","255"
"104",1702,"16-01-2021 13:15","16-01-2021 13:30","255"
"105",1703,"16-01-2021 13:30","16-01-2021 13:45","255"
"106",1704,"16-01-2021 13:45","16-01-2021 14:00","289"
"107",1705,"16-01-2021 14:00","16-01-2021 14:15","289"
"108",1706,"16-01-2021 14:15","16-01-2021 14:30","289"
"109",1707,"16-01-2021 14:30","16-01-2021 14:45","289"
"110",1708,"16-01-2021 14:45","16-01-2021 15:00","157"
"111",1709,"16-01-2021 15:00","16-01-2021 15:15","157"
"112",1710,"16-01-2021 15:15","16-01-2021 15:30","None"
"113",1711,"16-01-2021 15:30","16-01-2021 15:45","157"
"114",1712,"16-01-2021 15:45","16-01-2021 16:00","142"
"115",1713,"16-01-2021 16:00","16-01-2021 16:15","142"
"116",1714,"16-01-2021 16:15","16-01-2021 16:30","142"
"117",1715,"16-01-2021 16:30","16-01-2021 16:45","142"
"118",1716,"16-01-2021 16:45","16-01-2021 17:00","139"
"119",1717,"16-01-2021 17:00","16-01-2021 17:15","139"
"120",1718,"16-01-2021 17:15","16-01-2021 17:30","139"
"121",1719,"16-01-2021 17:30","16-01-2021 17:45","139"
"122",1720,"16-01-2021 17:45","16-01-2021 18:00","None"
"123",1721,"16-01-2021 18:00","16-01-2021 18:15","198"
"124",1722,"16-01-2021 18:15","16-01-2021 18:30","198"
"125",1723,"16-01-2021 18:30","16-01-2021 18:45","198"
"126",1724,"16-01-2021 18:45","16-01-2021 19:00","436"
"127",1725,"16-01-2021 19:00","16-01-2021 19:15","436"
"128",1726,"16-01-2021 19:15","16-01-2021 19:30","436"
"129",1727,"16-01-2021 19:30","16-01-2021 19:45","436"
"130",1728,"16-01-2021 19:45","16-01-2021 20:00","660"
"131",1729,"16-01-2021 20:00","16-01-2021 20:15","660"
"132",1730,"16-01-2021 20:15","16-01-2021 20:30","660"
"133",1731,"16-01-2021 20:30","16-01-2021 20:45","660"
"134",1732,"16-01-2021 20:45","16-01-2021 21:00","489"
"135",1733,"16-01-2021 21:00","16-01-2021 21:15","489"
"136",1734,"16-01-2021 21:15","16-01-2021 21:30","489"
"137",1735,"16-01-2021 21:30","16-01-2021 21:45","489"
"138",1736,"16-01-2021 21:45","16-01-2021 22:00","None"
"139",1737,"16-01-2021 22:00","16-01-2021 22:15","479"
"140",1738,"16-01-2021 22:15","16-01-2021 22:30","479"
"141",1739,"16-01-2021 22:30","16-01-2021 22:45","479"
"142",1740,"16-01-2021 22:45","16-01-2021 23:00","395"
"143",1741,"16-01-2021 23:00","16-01-2021 23:15","395"
"144",1742,"16-01-2021 23:15","16-01-2021 23:30","395"
"145",1743,"16-01-2021 23:30","16-01-2021 23:45","None"
"146",1744,"16-01-2021 23:45","17-01-2021 00:00","268"
"147",1745,"17-01-2021 00:00","17-01-2021 00:15","268"
"148",1746,"17-01-2021 00:15","17-01-2021 00:30","268"
"149",1747,"17-01-2021 00:30","17-01-2021 00:45","268"
"150",1748,"17-01-2021 00:45","17-01-2021 01:00","194"
"151",1749,"17-01-2021 01:00","17-01-2021 01:15","194"
"152",1750,"17-01-2021 01:15","17-01-2021 01:30","194"
"153",1751,"17-01-2021 01:30","17-01-2021 01:45","194"
"154",1752,"17-01-2021 01:45","17-01-2021 02:00","201"
"155",1753,"17-01-2021 02:00","17-01-2021 02:15","201"
"156",1754,"17-01-2021 02:15","17-01-2021 02:30","201"
"157",1755,"17-01-2021 02:30","17-01-2021 02:45","201"
"158",1756,"17-01-2021 02:45","17-01-2021 03:00","208"
"159",1757,"17-01-2021 03:00","17-01-2021 03:15","208"
"160",1758,"17-01-2021 03:15","17-01-2021 03:30","208"
"161",1759,"17-01-2021 03:30","17-01-2021 03:45","208"
"162",1760,"17-01-2021 03:45","17-01-2021 04:00","149"
"163",1761,"17-01-2021 04:00","17-01-2021 04:15","149"
"164",1762,"17-01-2021 04:15","17-01-2021 04:30","None"
"165",1763,"17-01-2021 04:30","17-01-2021 04:45","149"
"166",1764,"17-01-2021 04:45","17-01-2021 05:00","114"
"167",1765,"17-01-2021 05:00","17-01-2021 05:15","114"
"168",1766,"17-01-2021 05:15","17-01-2021 05:30","114"
"169",1767,"17-01-2021 05:30","17-01-2021 05:45","114"
"170",1768,"17-01-2021 05:45","17-01-2021 06:00","121"
"171",1769,"17-01-2021 06:00","17-01-2021 06:15","121"
"172",1770,"17-01-2021 06:15","17-01-2021 06:30","121"
"173",1771,"17-01-2021 06:30","17-01-2021 06:45","121"
"174",1772,"17-01-2021 06:45","17-01-2021 07:00","110"
"175",1773,"17-01-2021 07:00","17-01-2021 07:15","110"
"176",1774,"17-01-2021 07:15","17-01-2021 07:30","110"
"177",1775,"17-01-2021 07:30","17-01-2021 07:45","110"
"178",1776,"17-01-2021 07:45","17-01-2021 08:00","144"
"179",1777,"17-01-2021 08:00","17-01-2021 08:15","144"
"180",1778,"17-01-2021 08:15","17-01-2021 08:30","144"
"181",1779,"17-01-2021 08:30","17-01-2021 08:45","144"
"182",1780,"17-01-2021 08:45","17-01-2021 09:00","151"
"183",1781,"17-01-2021 09:00","17-01-2021 09:15","151"
"184",1782,"17-01-2021 09:15","17-01-2021 09:30","151"
"185",1783,"17-01-2021 09:30","17-01-2021 09:45","None"
"186",1784,"17-01-2021 09:45","17-01-2021 10:00","None"
"187",1785,"17-01-2021 10:00","17-01-2021 10:15","None"
