"","X","X0","X1","X3"
"96",1694,"16-01-2021 11:15","16-01-2021 11:30","17.7"
"97",1695,"16-01-2021 11:30","16-01-2021 11:45","None"
"98",1696,"16-01-2021 11:45","16-01-2021 12:00","None"
"99",1697,"16-01-2021 12:00","16-01-2021 12:15","None"
"100",1698,"16-01-2021 12:15","16-01-2021 12:30","380"
"101",1699,"16-01-2021 12:30","16-01-2021 12:45","341.2"
"102",1700,"16-01-2021 12:45","16-01-2021 13:00","4.6"
"103",1701,"16-01-2021 13:00","16-01-2021 13:15","12.5"
"104",1702,"16-01-2021 13:15","16-01-2021 13:30","15.3"
"105",1703,"16-01-2021 13:30","16-01-2021 13:45","10.6"
"106",1704,"16-01-2021 13:45","16-01-2021 14:00","9.5"
"107",1705,"16-01-2021 14:00","16-01-2021 14:15","7.7"
"108",1706,"16-01-2021 14:15","16-01-2021 14:30","9.9"
"109",1707,"16-01-2021 14:30","16-01-2021 14:45","4.5"
"110",1708,"16-01-2021 14:45","16-01-2021 15:00","7"
"111",1709,"16-01-2021 15:00","16-01-2021 15:15","6.8"
"112",1710,"16-01-2021 15:15","16-01-2021 15:30","None"
"113",1711,"16-01-2021 15:30","16-01-2021 15:45","7.9"
"114",1712,"16-01-2021 15:45","16-01-2021 16:00","5.5"
"115",1713,"16-01-2021 16:00","16-01-2021 16:15","9.1"
"116",1714,"16-01-2021 16:15","16-01-2021 16:30","9.7"
"117",1715,"16-01-2021 16:30","16-01-2021 16:45","9.1"
"118",1716,"16-01-2021 16:45","16-01-2021 17:00","13.7"
"119",1717,"16-01-2021 17:00","16-01-2021 17:15","18.8"
"120",1718,"16-01-2021 17:15","16-01-2021 17:30","50.8"
"121",1719,"16-01-2021 17:30","16-01-2021 17:45","152.9"
"122",1720,"16-01-2021 17:45","16-01-2021 18:00","None"
"123",1721,"16-01-2021 18:00","16-01-2021 18:15","201.4"
"124",1722,"16-01-2021 18:15","16-01-2021 18:30","265.6"
"125",1723,"16-01-2021 18:30","16-01-2021 18:45","213.8"
"126",1724,"16-01-2021 18:45","16-01-2021 19:00","227.6"
"127",1725,"16-01-2021 19:00","16-01-2021 19:15","289.3"
"128",1726,"16-01-2021 19:15","16-01-2021 19:30","322.3"
"129",1727,"16-01-2021 19:30","16-01-2021 19:45","233.3"
"130",1728,"16-01-2021 19:45","16-01-2021 20:00","259.3"
"131",1729,"16-01-2021 20:00","16-01-2021 20:15","250.1"
"132",1730,"16-01-2021 20:15","16-01-2021 20:30","139.3"
"133",1731,"16-01-2021 20:30","16-01-2021 20:45","78.8"
"134",1732,"16-01-2021 20:45","16-01-2021 21:00","74.8"
"135",1733,"16-01-2021 21:00","16-01-2021 21:15","157"
"136",1734,"16-01-2021 21:15","16-01-2021 21:30","158.4"
"137",1735,"16-01-2021 21:30","16-01-2021 21:45","183.4"
"138",1736,"16-01-2021 21:45","16-01-2021 22:00","None"
"139",1737,"16-01-2021 22:00","16-01-2021 22:15","45.2"
"140",1738,"16-01-2021 22:15","16-01-2021 22:30","60.6"
"141",1739,"16-01-2021 22:30","16-01-2021 22:45","101.8"
"142",1740,"16-01-2021 22:45","16-01-2021 23:00","62.2"
"143",1741,"16-01-2021 23:00","16-01-2021 23:15","24.4"
"144",1742,"16-01-2021 23:15","16-01-2021 23:30","2.9"
"145",1743,"16-01-2021 23:30","16-01-2021 23:45","None"
"146",1744,"16-01-2021 23:45","17-01-2021 00:00","4.7"
"147",1745,"17-01-2021 00:00","17-01-2021 00:15","2.8"
"148",1746,"17-01-2021 00:15","17-01-2021 00:30","2.9"
"149",1747,"17-01-2021 00:30","17-01-2021 00:45","4.5"
"150",1748,"17-01-2021 00:45","17-01-2021 01:00","5.3"
"151",1749,"17-01-2021 01:00","17-01-2021 01:15","4.7"
"152",1750,"17-01-2021 01:15","17-01-2021 01:30","5.7"
"153",1751,"17-01-2021 01:30","17-01-2021 01:45","0.8"
"154",1752,"17-01-2021 01:45","17-01-2021 02:00","5.3"
"155",1753,"17-01-2021 02:00","17-01-2021 02:15","4.8"
"156",1754,"17-01-2021 02:15","17-01-2021 02:30","10"
"157",1755,"17-01-2021 02:30","17-01-2021 02:45","5.4"
"158",1756,"17-01-2021 02:45","17-01-2021 03:00","3.2"
"159",1757,"17-01-2021 03:00","17-01-2021 03:15","3.5"
"160",1758,"17-01-2021 03:15","17-01-2021 03:30","2.2"
"161",1759,"17-01-2021 03:30","17-01-2021 03:45","3.6"
"162",1760,"17-01-2021 03:45","17-01-2021 04:00","6.6"
"163",1761,"17-01-2021 04:00","17-01-2021 04:15","6.7"
"164",1762,"17-01-2021 04:15","17-01-2021 04:30","None"
"165",1763,"17-01-2021 04:30","17-01-2021 04:45","1.5"
"166",1764,"17-01-2021 04:45","17-01-2021 05:00","6.5"
"167",1765,"17-01-2021 05:00","17-01-2021 05:15","2.5"
"168",1766,"17-01-2021 05:15","17-01-2021 05:30","3.1"
"169",1767,"17-01-2021 05:30","17-01-2021 05:45","0.5"
"170",1768,"17-01-2021 05:45","17-01-2021 06:00","2.8"
"171",1769,"17-01-2021 06:00","17-01-2021 06:15","2.2"
"172",1770,"17-01-2021 06:15","17-01-2021 06:30","1.2"
"173",1771,"17-01-2021 06:30","17-01-2021 06:45","5.2"
"174",1772,"17-01-2021 06:45","17-01-2021 07:00","1.2"
"175",1773,"17-01-2021 07:00","17-01-2021 07:15","4.8"
"176",1774,"17-01-2021 07:15","17-01-2021 07:30","6.1"
"177",1775,"17-01-2021 07:30","17-01-2021 07:45","3.7"
"178",1776,"17-01-2021 07:45","17-01-2021 08:00","7.8"
"179",1777,"17-01-2021 08:00","17-01-2021 08:15","3.9"
"180",1778,"17-01-2021 08:15","17-01-2021 08:30","2.8"
"181",1779,"17-01-2021 08:30","17-01-2021 08:45","6.5"
"182",1780,"17-01-2021 08:45","17-01-2021 09:00","6"
"183",1781,"17-01-2021 09:00","17-01-2021 09:15","4.6"
"184",1782,"17-01-2021 09:15","17-01-2021 09:30","4.9"
"185",1783,"17-01-2021 09:30","17-01-2021 09:45","None"
"186",1784,"17-01-2021 09:45","17-01-2021 10:00","None"
"187",1785,"17-01-2021 10:00","17-01-2021 10:15","None"
"188",1786,"17-01-2021 10:15","17-01-2021 10:30","5"
"189",1787,"17-01-2021 10:30","17-01-2021 10:45","8.5"
"190",1788,"17-01-2021 10:45","17-01-2021 11:00","8.1"
"191",1789,"17-01-2021 11:00","17-01-2021 11:15","13"
"192",1790,"17-01-2021 11:15","17-01-2021 11:30","10.3"
"193",1791,"17-01-2021 11:30","17-01-2021 11:45","None"
"194",1792,"17-01-2021 11:45","17-01-2021 12:00","None"
"195",1793,"17-01-2021 12:00","17-01-2021 12:15","None"
"196",1794,"17-01-2021 12:15","17-01-2021 12:30","12.3"
"197",1795,"17-01-2021 12:30","17-01-2021 12:45","8.5"
"198",1796,"17-01-2021 12:45","17-01-2021 13:00","None"
"199",1797,"17-01-2021 13:00","17-01-2021 13:15","6.1"
"200",1798,"17-01-2021 13:15","17-01-2021 13:30","6.1"
"201",1799,"17-01-2021 13:30","17-01-2021 13:45","9.6"
"202",1800,"17-01-2021 13:45","17-01-2021 14:00","7.7"
"203",1801,"17-01-2021 14:00","17-01-2021 14:15","6.3"
"204",1802,"17-01-2021 14:15","17-01-2021 14:30","7.7"
"205",1803,"17-01-2021 14:30","17-01-2021 14:45","7.3"
"206",1804,"17-01-2021 14:45","17-01-2021 15:00","8.6"
"207",1805,"17-01-2021 15:00","17-01-2021 15:15","7.3"
"208",1806,"17-01-2021 15:15","17-01-2021 15:30","8"
"209",1807,"17-01-2021 15:30","17-01-2021 15:45","6.2"
"210",1808,"17-01-2021 15:45","17-01-2021 16:00","7.2"
"211",1809,"17-01-2021 16:00","17-01-2021 16:15","10.5"
"212",1810,"17-01-2021 16:15","17-01-2021 16:30","10.7"
"213",1811,"17-01-2021 16:30","17-01-2021 16:45","9.1"
"214",1812,"17-01-2021 16:45","17-01-2021 17:00","9.9"
"215",1813,"17-01-2021 17:00","17-01-2021 17:15","10.4"
"216",1814,"17-01-2021 17:15","17-01-2021 17:30","10.7"
"217",1815,"17-01-2021 17:30","17-01-2021 17:45","17.5"
"218",1816,"17-01-2021 17:45","17-01-2021 18:00","23.8"
"219",1817,"17-01-2021 18:00","17-01-2021 18:15","26.7"
"220",1818,"17-01-2021 18:15","17-01-2021 18:30","29.9"
"221",1819,"17-01-2021 18:30","17-01-2021 18:45","24"
"222",1820,"17-01-2021 18:45","17-01-2021 19:00","28.1"
"223",1821,"17-01-2021 19:00","17-01-2021 19:15","40.7"
"224",1822,"17-01-2021 19:15","17-01-2021 19:30","32.7"
"225",1823,"17-01-2021 19:30","17-01-2021 19:45","53.1"
"226",1824,"17-01-2021 19:45","17-01-2021 20:00","62.1"
"227",1825,"17-01-2021 20:00","17-01-2021 20:15","37.2"
"228",1826,"17-01-2021 20:15","17-01-2021 20:30","26.8"
"229",1827,"17-01-2021 20:30","17-01-2021 20:45","23.6"
"230",1828,"17-01-2021 20:45","17-01-2021 21:00","40.8"
"231",1829,"17-01-2021 21:00","17-01-2021 21:15","42.9"
"232",1830,"17-01-2021 21:15","17-01-2021 21:30","20.5"
"233",1831,"17-01-2021 21:30","17-01-2021 21:45","24.5"
"234",1832,"17-01-2021 21:45","17-01-2021 22:00","18.5"
"235",1833,"17-01-2021 22:00","17-01-2021 22:15","17.3"
"236",1834,"17-01-2021 22:15","17-01-2021 22:30","8.5"
"237",1835,"17-01-2021 22:30","17-01-2021 22:45","15.3"
"238",1836,"17-01-2021 22:45","17-01-2021 23:00","27.5"
"239",1837,"17-01-2021 23:00","17-01-2021 23:15","36.6"
"240",1838,"17-01-2021 23:15","17-01-2021 23:30","None"
"241",1839,"17-01-2021 23:30","17-01-2021 23:45","None"
"242",1840,"17-01-2021 23:45","18-01-2021 00:00","None"
"243",1841,"18-01-2021 00:00","18-01-2021 00:15","32.6"
"244",1842,"18-01-2021 00:15","18-01-2021 00:30","25.4"
"245",1843,"18-01-2021 00:30","18-01-2021 00:45","16.3"
"246",1844,"18-01-2021 00:45","18-01-2021 01:00","9.6"
"247",1845,"18-01-2021 01:00","18-01-2021 01:15","6.6"
"248",1846,"18-01-2021 01:15","18-01-2021 01:30","None"
"249",1847,"18-01-2021 01:30","18-01-2021 01:45","5.2"
"250",1848,"18-01-2021 01:45","18-01-2021 02:00","5.5"
"251",1849,"18-01-2021 02:00","18-01-2021 02:15","4"
"252",1850,"18-01-2021 02:15","18-01-2021 02:30","2.7"
"253",1851,"18-01-2021 02:30","18-01-2021 02:45","3.5"
"254",1852,"18-01-2021 02:45","18-01-2021 03:00","5.4"
"255",1853,"18-01-2021 03:00","18-01-2021 03:15","2.6"
"256",1854,"18-01-2021 03:15","18-01-2021 03:30","None"
"257",1855,"18-01-2021 03:30","18-01-2021 03:45","4.1"
"258",1856,"18-01-2021 03:45","18-01-2021 04:00","4.3"
"259",1857,"18-01-2021 04:00","18-01-2021 04:15","3.2"
"260",1858,"18-01-2021 04:15","18-01-2021 04:30","1.9"
"261",1859,"18-01-2021 04:30","18-01-2021 04:45","3"
"262",1860,"18-01-2021 04:45","18-01-2021 05:00","5.5"
"263",1861,"18-01-2021 05:00","18-01-2021 05:15","5.9"
"264",1862,"18-01-2021 05:15","18-01-2021 05:30","9"
"265",1863,"18-01-2021 05:30","18-01-2021 05:45","4.3"
"266",1864,"18-01-2021 05:45","18-01-2021 06:00","22.8"
"267",1865,"18-01-2021 06:00","18-01-2021 06:15","20.7"
"268",1866,"18-01-2021 06:15","18-01-2021 06:30","14"
"269",1867,"18-01-2021 06:30","18-01-2021 06:45","22.8"
"270",1868,"18-01-2021 06:45","18-01-2021 07:00","18"
"271",1869,"18-01-2021 07:00","18-01-2021 07:15","20.7"
"272",1870,"18-01-2021 07:15","18-01-2021 07:30","20.5"
"273",1871,"18-01-2021 07:30","18-01-2021 07:45","18.3"
"274",1872,"18-01-2021 07:45","18-01-2021 08:00","14.5"
"275",1873,"18-01-2021 08:00","18-01-2021 08:15","11.9"
