,0
0,171.0
1,171.0
2,171.0
3,206.7933471607153
4,126.00000000000001
5,126.00000000000001
6,126.00000000000001
7,126.00000000000001
8,115.99999999999999
9,115.99999999999999
10,115.99999999999999
11,115.99999999999999
12,127.0
13,127.0
14,127.0
15,127.0
16,155.0
17,155.0
18,155.0
19,155.0
20,206.7933471607153
21,235.0
22,235.0
23,235.0
24,435.00000000000006
25,206.7933471607153
26,435.00000000000006
27,435.00000000000006
28,670.0
29,670.0
30,670.0
31,206.7933471607153
32,859.0
33,859.0
34,859.0
35,859.0
36,855.9999999999999
37,855.9999999999999
38,855.9999999999999
39,206.7933471607153
40,206.7933471607153
41,842.9999999999999
42,842.9999999999999
43,206.7933471607153
44,716.0
45,716.0
46,206.7933471607153
47,716.0
48,722.0
49,722.0
50,722.0
51,722.0
52,868.0
53,206.7933471607153
54,868.0
55,868.0
56,530.0
57,530.0
58,530.0
59,530.0
60,268.0
61,268.0
62,268.0
63,268.0
64,206.7933471607153
65,120.99999999999999
66,120.99999999999999
67,120.99999999999999
68,117.00000000000001
69,117.00000000000001
70,117.00000000000001
71,117.00000000000001
72,130.0
73,130.0
74,130.0
75,130.0
76,148.0
77,148.0
78,148.0
79,206.7933471607153
80,206.7933471607153
81,206.7933471607153
82,207.0
83,206.7933471607153
84,280.0
85,280.0
86,280.0
87,280.0
88,340.0
89,340.0
90,340.0
91,340.0
92,254.99999999999997
93,254.99999999999997
94,254.99999999999997
95,254.99999999999997
96,289.0
97,289.0
98,289.0
99,289.0
100,157.0
101,157.0
102,206.7933471607153
103,157.0
104,142.0
105,142.0
106,142.0
107,142.0
108,139.0
109,139.0
110,139.0
111,139.0
112,206.7933471607153
113,198.00000000000003
114,198.00000000000003
115,198.00000000000003
116,436.0
117,436.0
118,436.0
119,436.0
120,660.0
121,660.0
122,660.0
123,660.0
124,489.0
125,489.0
126,489.0
127,489.0
128,206.7933471607153
129,479.0
130,479.0
131,479.0
132,394.99999999999994
133,394.99999999999994
134,394.99999999999994
135,206.7933471607153
136,268.0
137,268.0
138,268.0
139,268.0
140,194.0
141,194.0
142,194.0
143,194.0
144,200.99999999999997
145,200.99999999999997
146,200.99999999999997
147,200.99999999999997
148,208.0
149,208.0
150,208.0
151,208.0
152,149.0
153,149.0
154,206.7933471607153
155,149.0
156,114.0
157,114.0
158,114.0
159,114.0
160,120.99999999999999
161,120.99999999999999
162,120.99999999999999
163,120.99999999999999
164,110.0
165,110.0
166,110.0
167,110.0
168,144.0
169,144.0
170,144.0
171,144.0
172,151.0
173,151.0
174,151.0
175,206.7933471607153
176,206.7933471607153
177,206.7933471607153
178,222.0
179,222.0
180,208.99999999999997
181,208.99999999999997
182,208.99999999999997
183,208.99999999999997
184,241.99999999999997
185,241.99999999999997
186,241.99999999999997
187,241.99999999999997
188,206.7933471607153
189,195.0
190,195.0
191,195.0
192,195.99999999999997
193,195.99999999999997
194,195.99999999999997
195,195.99999999999997
196,160.0
197,160.0
198,160.0
199,160.0
200,152.0
201,152.0
202,152.0
203,152.0
204,154.0
205,154.0
206,154.0
207,154.0
208,160.0
209,160.0
210,160.0
211,160.0
212,256.0
213,256.0
214,256.0
215,256.0
216,338.0
217,338.0
218,338.0
219,338.0
220,309.0
221,309.0
222,309.0
223,309.0
224,277.0
225,277.0
226,277.0
227,277.0
228,240.0
229,240.0
230,206.7933471607153
231,206.7933471607153
232,206.7933471607153
233,239.00000000000003
234,239.00000000000003
235,239.00000000000003
236,222.0
237,222.0
238,206.7933471607153
239,222.0
240,164.0
241,164.0
242,164.0
243,164.0
244,133.0
245,133.0
246,206.7933471607153
247,133.0
248,158.0
249,158.0
250,158.0
251,158.0
252,162.0
253,162.0
254,162.0
255,162.0
256,172.0
257,172.0
258,172.0
259,172.0
260,207.0
261,207.0
262,207.0
263,207.0
264,223.0
265,223.0
266,223.0
267,223.0
268,206.7933471607153
269,194.0
270,194.0
271,206.7933471607153
272,206.7933471607153
273,206.7933471607153
274,231.99999999999997
275,231.99999999999997
276,221.0
277,206.7933471607153
278,221.0
279,221.0
280,192.0
281,192.0
282,192.0
283,192.0
284,190.99999999999997
285,190.99999999999997
286,190.99999999999997
287,206.7933471607153
288,208.0
289,208.0
290,208.0
291,208.0
292,208.99999999999997
293,208.99999999999997
294,208.99999999999997
295,208.99999999999997
296,204.0
297,206.7933471607153
298,204.0
299,204.0
300,208.99999999999997
301,208.99999999999997
302,208.99999999999997
303,208.99999999999997
304,264.0
305,264.0
306,264.0
307,264.0
308,334.0
309,334.0
310,334.0
311,334.0
312,398.0
313,398.0
314,398.0
315,398.0
316,481.00000000000006
317,481.00000000000006
318,481.00000000000006
319,481.00000000000006
320,582.0
321,582.0
322,582.0
323,582.0
324,495.0
325,495.0
326,495.0
327,206.7933471607153
328,206.7933471607153
329,373.0
330,373.0
331,373.0
332,326.0
333,326.0
334,326.0
335,326.0
336,309.0
337,309.0
338,309.0
339,309.0
340,294.0
341,294.0
342,294.0
343,294.0
344,236.0
345,236.0
346,236.0
347,236.0
348,259.0
349,259.0
350,259.0
351,259.0
352,264.0
353,264.0
354,264.0
355,264.0
356,337.0
357,337.0
358,337.0
359,337.0
360,309.0
361,309.0
362,309.0
363,309.0
364,335.0
365,335.0
366,335.0
367,206.7933471607153
368,206.7933471607153
369,206.7933471607153
370,334.0
371,334.0
372,400.0
373,400.0
374,400.0
375,400.0
376,339.0
377,339.0
378,339.0
379,339.0
380,236.0
381,236.0
382,236.0
383,236.0
384,190.0
385,190.0
386,190.0
