,0,1,2,3,4
165,1.5,6.5,2.5,3.1,0.5
166,6.5,2.5,3.1,0.5,2.8
167,2.5,3.1,0.5,2.8,2.2
168,3.1,0.5,2.8,2.2,1.2
169,0.5,2.8,2.2,1.2,5.2
170,2.8,2.2,1.2,5.2,1.2
171,2.2,1.2,5.2,1.2,4.8
172,1.2,5.2,1.2,4.8,6.1
173,5.2,1.2,4.8,6.1,3.7
174,1.2,4.8,6.1,3.7,7.8
175,4.8,6.1,3.7,7.8,3.9
176,6.1,3.7,7.8,3.9,2.8
177,3.7,7.8,3.9,2.8,6.5
178,7.8,3.9,2.8,6.5,6.0
179,3.9,2.8,6.5,6.0,4.6
180,2.8,6.5,6.0,4.6,4.9
181,6.5,6.0,4.6,4.9,
182,6.0,4.6,4.9,,
183,4.6,4.9,,,
184,4.9,,,,5.0
185,,,,5.0,8.5
186,,,5.0,8.5,8.1
187,,5.0,8.5,8.1,13.0
188,5.0,8.5,8.1,13.0,10.3
189,8.5,8.1,13.0,10.3,
190,8.1,13.0,10.3,,
191,13.0,10.3,,,
192,10.3,,,,12.3
193,,,,12.3,8.5
194,,,12.3,8.5,
195,,12.3,8.5,,6.1
196,12.3,8.5,,6.1,6.1
197,8.5,,6.1,6.1,9.6
198,,6.1,6.1,9.6,7.7
199,6.1,6.1,9.6,7.7,6.3
200,6.1,9.6,7.7,6.3,7.7
201,9.6,7.7,6.3,7.7,7.3
202,7.7,6.3,7.7,7.3,8.6
203,6.3,7.7,7.3,8.6,7.3
204,7.7,7.3,8.6,7.3,8.0
205,7.3,8.6,7.3,8.0,6.2
206,8.6,7.3,8.0,6.2,7.2
207,7.3,8.0,6.2,7.2,10.5
208,8.0,6.2,7.2,10.5,10.7
209,6.2,7.2,10.5,10.7,9.1
210,7.2,10.5,10.7,9.1,9.9
211,10.5,10.7,9.1,9.9,10.4
212,10.7,9.1,9.9,10.4,10.7
213,9.1,9.9,10.4,10.7,17.5
214,9.9,10.4,10.7,17.5,23.8
215,10.4,10.7,17.5,23.8,26.7
216,10.7,17.5,23.8,26.7,29.9
217,17.5,23.8,26.7,29.9,24.0
218,23.8,26.7,29.9,24.0,28.1
219,26.7,29.9,24.0,28.1,40.7
220,29.9,24.0,28.1,40.7,32.7
221,24.0,28.1,40.7,32.7,53.1
222,28.1,40.7,32.7,53.1,62.1
223,40.7,32.7,53.1,62.1,37.2
224,32.7,53.1,62.1,37.2,26.8
225,53.1,62.1,37.2,26.8,23.6
226,62.1,37.2,26.8,23.6,40.8
227,37.2,26.8,23.6,40.8,42.9
228,26.8,23.6,40.8,42.9,20.5
229,23.6,40.8,42.9,20.5,24.5
230,40.8,42.9,20.5,24.5,18.5
231,42.9,20.5,24.5,18.5,17.3
232,20.5,24.5,18.5,17.3,8.5
233,24.5,18.5,17.3,8.5,15.3
234,18.5,17.3,8.5,15.3,27.5
235,17.3,8.5,15.3,27.5,36.6
236,8.5,15.3,27.5,36.6,
237,15.3,27.5,36.6,,
238,27.5,36.6,,,
239,36.6,,,,32.6
240,,,,32.6,25.4
241,,,32.6,25.4,16.3
