,0,1,2,3,4
163,149.0,,149.0,114.0,114.0
164,,149.0,114.0,114.0,114.0
165,149.0,114.0,114.0,114.0,114.0
166,114.0,114.0,114.0,114.0,121.0
167,114.0,114.0,114.0,121.0,121.0
168,114.0,114.0,121.0,121.0,121.0
169,114.0,121.0,121.0,121.0,121.0
170,121.0,121.0,121.0,121.0,110.0
171,121.0,121.0,121.0,110.0,110.0
172,121.0,121.0,110.0,110.0,110.0
173,121.0,110.0,110.0,110.0,110.0
174,110.0,110.0,110.0,110.0,144.0
175,110.0,110.0,110.0,144.0,144.0
176,110.0,110.0,144.0,144.0,144.0
177,110.0,144.0,144.0,144.0,144.0
178,144.0,144.0,144.0,144.0,151.0
179,144.0,144.0,144.0,151.0,151.0
180,144.0,144.0,151.0,151.0,151.0
181,144.0,151.0,151.0,151.0,
182,151.0,151.0,151.0,,
183,151.0,151.0,,,
184,151.0,,,,222.0
185,,,,222.0,222.0
186,,,222.0,222.0,209.0
187,,222.0,222.0,209.0,209.0
188,222.0,222.0,209.0,209.0,209.0
189,222.0,209.0,209.0,209.0,209.0
190,209.0,209.0,209.0,209.0,242.0
191,209.0,209.0,209.0,242.0,242.0
192,209.0,209.0,242.0,242.0,242.0
193,209.0,242.0,242.0,242.0,242.0
194,242.0,242.0,242.0,242.0,
195,242.0,242.0,242.0,,195.0
196,242.0,242.0,,195.0,195.0
197,242.0,,195.0,195.0,195.0
198,,195.0,195.0,195.0,196.0
199,195.0,195.0,195.0,196.0,196.0
200,195.0,195.0,196.0,196.0,196.0
201,195.0,196.0,196.0,196.0,196.0
202,196.0,196.0,196.0,196.0,160.0
203,196.0,196.0,196.0,160.0,160.0
204,196.0,196.0,160.0,160.0,160.0
205,196.0,160.0,160.0,160.0,160.0
206,160.0,160.0,160.0,160.0,152.0
207,160.0,160.0,160.0,152.0,152.0
208,160.0,160.0,152.0,152.0,152.0
209,160.0,152.0,152.0,152.0,152.0
210,152.0,152.0,152.0,152.0,154.0
211,152.0,152.0,152.0,154.0,154.0
212,152.0,152.0,154.0,154.0,154.0
213,152.0,154.0,154.0,154.0,154.0
214,154.0,154.0,154.0,154.0,160.0
215,154.0,154.0,154.0,160.0,160.0
216,154.0,154.0,160.0,160.0,160.0
217,154.0,160.0,160.0,160.0,160.0
218,160.0,160.0,160.0,160.0,256.0
219,160.0,160.0,160.0,256.0,256.0
220,160.0,160.0,256.0,256.0,256.0
221,160.0,256.0,256.0,256.0,256.0
222,256.0,256.0,256.0,256.0,338.0
223,256.0,256.0,256.0,338.0,338.0
224,256.0,256.0,338.0,338.0,338.0
225,256.0,338.0,338.0,338.0,338.0
226,338.0,338.0,338.0,338.0,309.0
227,338.0,338.0,338.0,309.0,309.0
228,338.0,338.0,309.0,309.0,309.0
229,338.0,309.0,309.0,309.0,309.0
230,309.0,309.0,309.0,309.0,277.0
231,309.0,309.0,309.0,277.0,277.0
232,309.0,309.0,277.0,277.0,277.0
233,309.0,277.0,277.0,277.0,277.0
234,277.0,277.0,277.0,277.0,240.0
235,277.0,277.0,277.0,240.0,240.0
236,277.0,277.0,240.0,240.0,
237,277.0,240.0,240.0,,
238,240.0,240.0,,,
239,240.0,,,,239.0
