,0,1,2,3,4
164,,32.6,31.2,32.7,30.8
165,32.6,31.2,32.7,30.8,27.2
166,31.2,32.7,30.8,27.2,31.5
167,32.7,30.8,27.2,31.5,31.1
168,30.8,27.2,31.5,31.1,34.1
169,27.2,31.5,31.1,34.1,33.2
170,31.5,31.1,34.1,33.2,27.1
171,31.1,34.1,33.2,27.1,34.8
172,34.1,33.2,27.1,34.8,35.8
173,33.2,27.1,34.8,35.8,36.7
174,27.1,34.8,35.8,36.7,36.9
175,34.8,35.8,36.7,36.9,40.0
176,35.8,36.7,36.9,40.0,42.8
177,36.7,36.9,40.0,42.8,42.1
178,36.9,40.0,42.8,42.1,43.6
179,40.0,42.8,42.1,43.6,46.9
180,42.8,42.1,43.6,46.9,46.9
181,42.1,43.6,46.9,46.9,
182,43.6,46.9,46.9,,
183,46.9,46.9,,,
184,46.9,,,,46.8
185,,,,46.8,50.7
186,,,46.8,50.7,53.5
187,,46.8,50.7,53.5,61.4
188,46.8,50.7,53.5,61.4,57.5
189,50.7,53.5,61.4,57.5,
190,53.5,61.4,57.5,,
191,61.4,57.5,,,
192,57.5,,,,47.6
193,,,,47.6,47.2
194,,,47.6,47.2,
195,,47.6,47.2,,43.3
196,47.6,47.2,,43.3,46.5
197,47.2,,43.3,46.5,46.0
198,,43.3,46.5,46.0,43.5
199,43.3,46.5,46.0,43.5,44.1
200,46.5,46.0,43.5,44.1,46.7
201,46.0,43.5,44.1,46.7,47.6
202,43.5,44.1,46.7,47.6,51.9
203,44.1,46.7,47.6,51.9,48.5
204,46.7,47.6,51.9,48.5,48.4
205,47.6,51.9,48.5,48.4,48.0
206,51.9,48.5,48.4,48.0,53.9
207,48.5,48.4,48.0,53.9,57.8
208,48.4,48.0,53.9,57.8,55.0
209,48.0,53.9,57.8,55.0,65.0
210,53.9,57.8,55.0,65.0,65.9
211,57.8,55.0,65.0,65.9,68.8
212,55.0,65.0,65.9,68.8,70.2
213,65.0,65.9,68.8,70.2,90.2
214,65.9,68.8,70.2,90.2,96.3
215,68.8,70.2,90.2,96.3,104.1
216,70.2,90.2,96.3,104.1,119.9
217,90.2,96.3,104.1,119.9,117.8
218,96.3,104.1,119.9,117.8,120.7
219,104.1,119.9,117.8,120.7,125.1
220,119.9,117.8,120.7,125.1,116.4
221,117.8,120.7,125.1,116.4,123.6
222,120.7,125.1,116.4,123.6,118.8
223,125.1,116.4,123.6,118.8,114.0
224,116.4,123.6,118.8,114.0,112.5
225,123.6,118.8,114.0,112.5,108.0
226,118.8,114.0,112.5,108.0,112.2
227,114.0,112.5,108.0,112.2,105.8
228,112.5,108.0,112.2,105.8,112.4
229,108.0,112.2,105.8,112.4,106.9
230,112.2,105.8,112.4,106.9,104.2
231,105.8,112.4,106.9,104.2,95.9
232,112.4,106.9,104.2,95.9,93.5
233,106.9,104.2,95.9,93.5,93.8
234,104.2,95.9,93.5,93.8,100.4
235,95.9,93.5,93.8,100.4,91.6
236,93.5,93.8,100.4,91.6,
237,93.8,100.4,91.6,,
238,100.4,91.6,,,
239,91.6,,,,81.0
240,,,,81.0,81.9
241,,,81.0,81.9,77.0
242,,81.0,81.9,77.0,70.8
243,81.0,81.9,77.0,70.8,59.7
244,81.9,77.0,70.8,59.7,
245,77.0,70.8,59.7,,45.0
246,70.8,59.7,,45.0,41.2
247,59.7,,45.0,41.2,38.3
248,,45.0,41.2,38.3,38.2
249,45.0,41.2,38.3,38.2,36.4
250,41.2,38.3,38.2,36.4,34.5
251,38.3,38.2,36.4,34.5,37.5
252,38.2,36.4,34.5,37.5,
253,36.4,34.5,37.5,,42.1
254,34.5,37.5,,42.1,41.4
255,37.5,,42.1,41.4,44.6
256,,42.1,41.4,44.6,44.1
257,42.1,41.4,44.6,44.1,43.3
258,41.4,44.6,44.1,43.3,46.3
259,44.6,44.1,43.3,46.3,51.7
260,44.1,43.3,46.3,51.7,66.6
261,43.3,46.3,51.7,66.6,59.5
262,46.3,51.7,66.6,59.5,97.4
263,51.7,66.6,59.5,97.4,89.8
264,66.6,59.5,97.4,89.8,80.8
265,59.5,97.4,89.8,80.8,92.0
266,97.4,89.8,80.8,92.0,84.0
267,89.8,80.8,92.0,84.0,83.0
268,80.8,92.0,84.0,83.0,80.7
269,92.0,84.0,83.0,80.7,84.2
270,84.0,83.0,80.7,84.2,85.1
271,83.0,80.7,84.2,85.1,84.0
272,80.7,84.2,85.1,84.0,72.7
273,84.2,85.1,84.0,72.7,68.8
274,85.1,84.0,72.7,68.8,
275,84.0,72.7,68.8,,77.2
276,72.7,68.8,,77.2,77.1
277,68.8,,77.2,77.1,
278,,77.2,77.1,,
279,77.2,77.1,,,
280,77.1,,,,71.4
281,,,,71.4,69.8
282,,,71.4,69.8,64.2
283,,71.4,69.8,64.2,
284,71.4,69.8,64.2,,67.2
285,69.8,64.2,,67.2,
286,64.2,,67.2,,
287,,67.2,,,
288,67.2,,,,69.7
289,,,,69.7,64.6
290,,,69.7,64.6,59.1
291,,69.7,64.6,59.1,55.2
292,69.7,64.6,59.1,55.2,61.8
293,64.6,59.1,55.2,61.8,
294,59.1,55.2,61.8,,65.0
295,55.2,61.8,,65.0,63.4
296,61.8,,65.0,63.4,68.5
297,,65.0,63.4,68.5,66.0
298,65.0,63.4,68.5,66.0,59.1
299,63.4,68.5,66.0,59.1,64.2
300,68.5,66.0,59.1,64.2,61.7
301,66.0,59.1,64.2,61.7,78.0
302,59.1,64.2,61.7,78.0,88.2
303,64.2,61.7,78.0,88.2,
304,61.7,78.0,88.2,,92.5
305,78.0,88.2,,92.5,80.9
306,88.2,,92.5,80.9,94.4
307,,92.5,80.9,94.4,92.0
308,92.5,80.9,94.4,92.0,76.7
309,80.9,94.4,92.0,76.7,125.2
310,94.4,92.0,76.7,125.2,129.0
311,92.0,76.7,125.2,129.0,116.6
312,76.7,125.2,129.0,116.6,119.1
313,125.2,129.0,116.6,119.1,120.9
314,129.0,116.6,119.1,120.9,125.6
315,116.6,119.1,120.9,125.6,127.1
316,119.1,120.9,125.6,127.1,132.8
317,120.9,125.6,127.1,132.8,132.6
318,125.6,127.1,132.8,132.6,132.1
319,127.1,132.8,132.6,132.1,136.5
320,132.8,132.6,132.1,136.5,129.5
321,132.6,132.1,136.5,129.5,130.0
322,132.1,136.5,129.5,130.0,128.4
323,136.5,129.5,130.0,128.4,129.6
324,129.5,130.0,128.4,129.6,135.3
325,130.0,128.4,129.6,135.3,129.5
326,128.4,129.6,135.3,129.5,131.0
327,129.6,135.3,129.5,131.0,128.1
328,135.3,129.5,131.0,128.1,129.0
329,129.5,131.0,128.1,129.0,119.7
330,131.0,128.1,129.0,119.7,116.8
331,128.1,129.0,119.7,116.8,117.3
332,129.0,119.7,116.8,117.3,102.1
333,119.7,116.8,117.3,102.1,
334,116.8,117.3,102.1,,
335,117.3,102.1,,,90.4
336,102.1,,,90.4,78.0
337,,,90.4,78.0,79.4
338,,90.4,78.0,79.4,74.8
339,90.4,78.0,79.4,74.8,71.5
340,78.0,79.4,74.8,71.5,66.0
341,79.4,74.8,71.5,66.0,68.3
342,74.8,71.5,66.0,68.3,74.2
343,71.5,66.0,68.3,74.2,79.1
344,66.0,68.3,74.2,79.1,67.7
345,68.3,74.2,79.1,67.7,63.6
346,74.2,79.1,67.7,63.6,64.7
347,79.1,67.7,63.6,64.7,59.8
348,67.7,63.6,64.7,59.8,63.4
349,63.6,64.7,59.8,63.4,57.9
350,64.7,59.8,63.4,57.9,56.7
351,59.8,63.4,57.9,56.7,59.4
352,63.4,57.9,56.7,59.4,58.6
353,57.9,56.7,59.4,58.6,57.5
354,56.7,59.4,58.6,57.5,56.8
355,59.4,58.6,57.5,56.8,49.5
356,58.6,57.5,56.8,49.5,51.1
357,57.5,56.8,49.5,51.1,65.2
358,56.8,49.5,51.1,65.2,70.7
359,49.5,51.1,65.2,70.7,64.1
360,51.1,65.2,70.7,64.1,62.9
361,65.2,70.7,64.1,62.9,60.6
362,70.7,64.1,62.9,60.6,58.5
363,64.1,62.9,60.6,58.5,58.1
364,62.9,60.6,58.5,58.1,60.1
365,60.6,58.5,58.1,60.1,63.0
366,58.5,58.1,60.1,63.0,68.2
367,58.1,60.1,63.0,68.2,72.5
368,60.1,63.0,68.2,72.5,78.4
369,63.0,68.2,72.5,78.4,90.1
370,68.2,72.5,78.4,90.1,82.3
371,72.5,78.4,90.1,82.3,91.8
372,78.4,90.1,82.3,91.8,95.9
373,90.1,82.3,91.8,95.9,
374,82.3,91.8,95.9,,
375,91.8,95.9,,,
376,95.9,,,,109.1
377,,,,109.1,98.4
378,,,109.1,98.4,86.2
379,,109.1,98.4,86.2,103.2
380,109.1,98.4,86.2,103.2,116.0
381,98.4,86.2,103.2,116.0,
382,86.2,103.2,116.0,,
383,103.2,116.0,,,
