,0
570,60.5
571,60.9
572,
573,
574,
575,14.0
576,17.3
577,14.4
578,38.5
579,61.3
580,60.4
581,67.7
582,64.1
583,59.4
584,60.9
585,60.1
586,57.3
587,
588,57.9
589,56.6
590,59.6
591,60.3
592,63.4
593,84.4
594,100.1
595,102.7
596,132.0
597,
598,164.4
599,
600,170.2
601,167.4
602,165.6
603,180.5
604,185.8
605,184.7
606,197.4
607,209.1
608,202.3
609,205.9
610,175.7
611,161.8
612,137.8
613,105.7
614,95.8
615,77.8
616,74.7
617,69.0
618,64.0
619,63.2
620,
621,
622,47.5
623,45.1
624,47.5
625,46.6
626,40.6
627,40.2
628,41.6
629,40.5
630,41.3
631,43.2
632,51.3
633,48.7
634,49.8
635,47.2
636,41.0
637,40.2
638,38.0
639,37.4
640,34.9
641,34.7
642,35.1
643,43.5
644,49.7
645,54.4
646,41.7
647,47.1
648,46.9
649,52.9
650,45.4
651,55.3
652,49.3
653,51.6
654,57.5
655,61.6
656,61.7
657,64.4
658,60.4
659,63.0
660,
661,
662,
663,63.2
664,68.9
665,67.8
666,62.7
667,55.9
668,
669,
670,
671,13.3
672,42.7
673,76.6
674,76.2
675,80.8
676,81.3
677,77.9
678,82.0
679,83.9
680,74.1
681,70.0
682,
683,75.1
684,73.4
685,73.7
686,73.0
687,
688,71.6
689,79.4
690,87.0
691,74.4
692,80.5
693,80.4
694,85.3
695,83.9
696,88.5
697,77.8
698,75.8
699,67.7
700,71.2
701,70.2
702,61.9
703,57.8
704,65.1
705,63.1
706,66.4
707,62.7
708,56.3
709,54.0
710,47.8
711,48.1
712,44.5
713,42.1
714,38.5
715,38.3
716,
717,33.7
718,35.6
719,31.5
720,31.8
721,33.5
722,36.6
723,37.5
724,
725,47.0
726,49.9
727,53.4
728,52.4
729,42.4
730,39.4
731,35.2
732,27.6
733,32.4
734,29.1
735,29.3
736,31.1
737,31.2
738,29.1
739,32.0
740,32.3
741,30.5
742,32.1
743,31.6
744,32.9
745,33.6
746,29.2
747,34.4
748,37.3
749,38.9
750,41.1
751,40.3
752,42.9
753,37.4
754,40.9
755,41.4
756,
757,
758,
759,54.1
760,52.6
761,51.4
762,54.7
763,53.9
764,
765,
766,
767,14.6
768,7.3
769,17.4
770,61.2
771,60.1
772,62.0
773,55.8
774,60.1
775,60.4
776,67.2
777,63.8
778,70.0
779,
780,72.7
781,72.7
782,74.8
783,79.8
784,84.2
785,85.4
786,100.7
787,100.2
788,114.2
