,0,1,2,3,4
170,12.0,12.4,11.6,11.1,11.0
171,12.4,11.6,11.1,11.0,11.3
172,11.6,11.1,11.0,11.3,11.3
173,11.1,11.0,11.3,11.3,11.4
174,11.0,11.3,11.3,11.4,11.3
175,11.3,11.3,11.4,11.3,11.8
176,11.3,11.4,11.3,11.8,12.4
177,11.4,11.3,11.8,12.4,12.6
178,11.3,11.8,12.4,12.6,12.8
179,11.8,12.4,12.6,12.8,13.1
180,12.4,12.6,12.8,13.1,13.3
181,12.6,12.8,13.1,13.3,
182,12.8,13.1,13.3,,
183,13.1,13.3,,,
184,13.3,,,,13.4
185,,,,13.4,
186,,,13.4,,
187,,13.4,,,
188,13.4,,,,14.5
189,,,,14.5,14.6
190,,,14.5,14.6,14.8
191,,14.5,14.6,14.8,14.9
192,14.5,14.6,14.8,14.9,15.2
193,14.6,14.8,14.9,15.2,16.5
194,14.8,14.9,15.2,16.5,
195,14.9,15.2,16.5,,16.8
196,15.2,16.5,,16.8,16.8
197,16.5,,16.8,16.8,16.7
198,,16.8,16.8,16.7,16.5
199,16.8,16.8,16.7,16.5,15.9
200,16.8,16.7,16.5,15.9,16.1
201,16.7,16.5,15.9,16.1,15.7
202,16.5,15.9,16.1,15.7,15.8
203,15.9,16.1,15.7,15.8,15.4
204,16.1,15.7,15.8,15.4,15.7
205,15.7,15.8,15.4,15.7,15.3
206,15.8,15.4,15.7,15.3,14.6
207,15.4,15.7,15.3,14.6,14.9
208,15.7,15.3,14.6,14.9,16.5
209,15.3,14.6,14.9,16.5,16.8
210,14.6,14.9,16.5,16.8,17.9
211,14.9,16.5,16.8,17.9,18.2
212,16.5,16.8,17.9,18.2,18.4
213,16.8,17.9,18.2,18.4,18.7
214,17.9,18.2,18.4,18.7,19.2
215,18.2,18.4,18.7,19.2,19.8
216,18.4,18.7,19.2,19.8,19.5
217,18.7,19.2,19.8,19.5,19.4
218,19.2,19.8,19.5,19.4,18.9
219,19.8,19.5,19.4,18.9,20.3
220,19.5,19.4,18.9,20.3,19.7
221,19.4,18.9,20.3,19.7,20.0
222,18.9,20.3,19.7,20.0,20.5
223,20.3,19.7,20.0,20.5,19.2
224,19.7,20.0,20.5,19.2,15.4
225,20.0,20.5,19.2,15.4,13.7
226,20.5,19.2,15.4,13.7,13.2
227,19.2,15.4,13.7,13.2,14.0
228,15.4,13.7,13.2,14.0,13.2
229,13.7,13.2,14.0,13.2,12.8
230,13.2,14.0,13.2,12.8,12.3
231,14.0,13.2,12.8,12.3,12.2
232,13.2,12.8,12.3,12.2,11.7
233,12.8,12.3,12.2,11.7,12.1
234,12.3,12.2,11.7,12.1,11.8
235,12.2,11.7,12.1,11.8,12.0
236,11.7,12.1,11.8,12.0,
237,12.1,11.8,12.0,,
238,11.8,12.0,,,
239,12.0,,,,12.4
240,,,,12.4,12.3
241,,,12.4,12.3,12.3
242,,12.4,12.3,12.3,11.9
243,12.4,12.3,12.3,11.9,11.8
244,12.3,12.3,11.9,11.8,
245,12.3,11.9,11.8,,11.6
246,11.9,11.8,,11.6,11.2
247,11.8,,11.6,11.2,11.6
248,,11.6,11.2,11.6,11.9
249,11.6,11.2,11.6,11.9,11.3
250,11.2,11.6,11.9,11.3,10.4
251,11.6,11.9,11.3,10.4,10.3
252,11.9,11.3,10.4,10.3,
253,11.3,10.4,10.3,,9.7
254,10.4,10.3,,9.7,10.3
255,10.3,,9.7,10.3,10.9
256,,9.7,10.3,10.9,12.2
257,9.7,10.3,10.9,12.2,13.2
258,10.3,10.9,12.2,13.2,12.9
259,10.9,12.2,13.2,12.9,13.2
260,12.2,13.2,12.9,13.2,14.3
261,13.2,12.9,13.2,14.3,13.9
262,12.9,13.2,14.3,13.9,13.8
263,13.2,14.3,13.9,13.8,15.1
264,14.3,13.9,13.8,15.1,16.2
265,13.9,13.8,15.1,16.2,16.7
266,13.8,15.1,16.2,16.7,17.3
267,15.1,16.2,16.7,17.3,17.6
268,16.2,16.7,17.3,17.6,17.8
269,16.7,17.3,17.6,17.8,18.1
270,17.3,17.6,17.8,18.1,17.7
271,17.6,17.8,18.1,17.7,17.3
272,17.8,18.1,17.7,17.3,16.5
273,18.1,17.7,17.3,16.5,15.5
274,17.7,17.3,16.5,15.5,
275,17.3,16.5,15.5,,16.0
276,16.5,15.5,,16.0,16.9
277,15.5,,16.0,16.9,
278,,16.0,16.9,,
279,16.0,16.9,,,
280,16.9,,,,17.3
281,,,,17.3,
282,,,17.3,,
283,,17.3,,,
284,17.3,,,,17.2
285,,,,17.2,17.5
286,,,17.2,17.5,18.1
287,,17.2,17.5,18.1,17.7
288,17.2,17.5,18.1,17.7,16.5
289,17.5,18.1,17.7,16.5,16.7
290,18.1,17.7,16.5,16.7,16.8
291,17.7,16.5,16.7,16.8,17.2
292,16.5,16.7,16.8,17.2,17.6
293,16.7,16.8,17.2,17.6,
294,16.8,17.2,17.6,,17.8
295,17.2,17.6,,17.8,17.9
296,17.6,,17.8,17.9,18.4
297,,17.8,17.9,18.4,18.2
298,17.8,17.9,18.4,18.2,18.0
299,17.9,18.4,18.2,18.0,17.6
300,18.4,18.2,18.0,17.6,17.1
301,18.2,18.0,17.6,17.1,16.6
302,18.0,17.6,17.1,16.6,16.4
303,17.6,17.1,16.6,16.4,
304,17.1,16.6,16.4,,16.7
305,16.6,16.4,,16.7,16.8
